                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9885,                 2.5775,                   2.07,                0.41331,                0.27178,                0.11918,                0.03598,                 2.6201,                  6.547,                 2.9589,               0.070131,              0.0033188,              0.0033188
                      2,                 1.9829,                 2.1848,                 2.0483,                 0.3781,                 0.5259,                0.33596,                0.11286,                 2.2784,                 2.6132,                 2.3714,               0.040129,              0.0066505,              0.0066505
                      3,                 1.9349,                 2.0452,                 2.0101,                0.04105,                 0.3147,                0.06015,                0.01782,                 2.7324,                 4.5864,                 2.8634,               0.010121,              0.0099757,              0.0099757
                      4,                 1.8969,                 1.9316,                 1.9687,                0.50103,                 0.5918,                0.53751,                0.20464,                 2.0597,                  1.667,                 2.1943,               0.009978,               0.009978,               0.009978
                      5,                 1.8628,                 1.8486,                 1.9211,                0.61195,                0.49482,                0.47397,                0.17846,                 2.0396,                 2.0774,                 2.2103,               0.009961,               0.009961,               0.009961
                      6,                 1.8339,                 1.7821,                 1.9214,                0.67313,                0.59132,                0.59512,                0.24488,                 2.0839,                 1.6861,                 2.1513,              0.0099391,              0.0099391,              0.0099391
                      7,                   1.81,                 1.7276,                 1.8891,                0.49106,                0.47461,                0.45614,                0.18824,                 2.0731,                 2.5904,                 2.3322,              0.0099123,              0.0099123,              0.0099123
                      8,                 1.8114,                 1.7189,                 1.8794,                0.63441,                0.58665,                0.62702,                0.26103,                 1.9868,                 1.6545,                 2.0966,              0.0098808,              0.0098808,              0.0098808
                      9,                 1.8052,                 1.6943,                 1.8782,                0.67566,                 0.6716,                 0.6499,                 0.2674,                 2.0081,                 1.5542,                 2.1253,              0.0098445,              0.0098445,              0.0098445
                     10,                 1.7898,                 1.6571,                 1.8608,                0.71617,                0.64377,                0.65508,                0.27409,                 2.0264,                 1.5066,                 2.0774,              0.0098035,              0.0098035,              0.0098035
                     11,                 1.7912,                 1.6604,                 1.8727,                0.76315,                0.62283,                0.68061,                 0.2948,                 1.9559,                 1.4571,                 2.0142,              0.0097577,              0.0097577,              0.0097577
                     12,                 1.7933,                 1.6536,                 1.8648,                0.72229,                0.62179,                0.64954,                0.28544,                 1.9809,                 1.4414,                 2.0577,              0.0097074,              0.0097074,              0.0097074
                     13,                 1.7766,                 1.6297,                 1.8551,                0.57465,                0.70726,                0.65611,                0.28644,                 1.9698,                 1.4716,                 2.0357,              0.0096524,              0.0096524,              0.0096524
                     14,                 1.7652,                 1.6154,                 1.8398,                0.66872,                0.70677,                0.68921,                0.29527,                  1.929,                 1.4181,                 2.0208,              0.0095929,              0.0095929,              0.0095929
                     15,                 1.7607,                 1.5978,                 1.8427,                0.62198,                0.72112,                0.69782,                 0.3103,                  1.981,                 1.3359,                 2.0141,              0.0095289,              0.0095289,              0.0095289
                     16,                 1.7559,                 1.5856,                 1.8294,                0.55067,                0.70917,                0.67282,                0.28771,                 1.9514,                 1.5091,                 2.0372,              0.0094605,              0.0094605,              0.0094605
                     17,                 1.7469,                 1.5814,                 1.8381,                0.64988,                0.73094,                0.70991,                0.32308,                 1.9494,                  1.297,                 2.0203,              0.0093877,              0.0093877,              0.0093877
                     18,                 1.7524,                 1.5726,                 1.8261,                0.69361,                0.71582,                0.72137,                0.32738,                 1.8931,                 1.3192,                 1.9783,              0.0093107,              0.0093107,              0.0093107
                     19,                 1.7415,                 1.5405,                 1.8292,                0.61153,                 0.6899,                0.69186,                0.29369,                 1.9897,                 1.4391,                 2.1002,              0.0092294,              0.0092294,              0.0092294
                     20,                 1.7336,                 1.5291,                 1.8134,                0.72392,                0.68289,                 0.7111,                0.31237,                 1.9542,                 1.3427,                 2.0003,               0.009144,               0.009144,               0.009144
                     21,                 1.7346,                 1.5269,                 1.8118,                0.63673,                0.74011,                 0.6935,                0.30241,                 1.9414,                 1.3441,                 2.0078,              0.0090546,              0.0090546,              0.0090546
                     22,                 1.7246,                 1.5316,                 1.8103,                0.71184,                0.69173,                0.70838,                 0.3197,                 1.9654,                 1.2563,                 1.9779,              0.0089613,              0.0089613,              0.0089613
                     23,                 1.7252,                 1.5192,                   1.81,                0.58053,                0.69156,                0.70156,                0.31182,                 1.9647,                 1.3495,                 2.0352,               0.008864,               0.008864,               0.008864
                     24,                 1.7345,                 1.5209,                 1.8187,                0.70454,                0.74275,                0.72917,                0.32296,                 1.9643,                 1.2573,                 2.0198,               0.008763,               0.008763,               0.008763
                     25,                 1.7088,                 1.5043,                 1.8026,                0.69028,                0.71758,                0.72896,                0.33494,                 1.9127,                 1.2951,                 2.0024,              0.0086584,              0.0086584,              0.0086584
